"element","position","intro"
"#datasets_dropdown","bottom","Menu to import, export, integrate, and delete datasets.</br></br><i class=""fas fa-exclamation-triangle text-info""></i> Integration is needed for differential expression analysis across conditions, pathway analysis, and drug queries.</br></br><i class=""fas fa-exclamation-triangle text-info""></i> Disabled for demo."
"#sc-intro-dataset","right","Select an integrated single cell dataset to explore.</br></br><i class=""fas fa-exclamation-triangle text-danger""></i> Selection required for tour."
"#sc-form-comparison_toggle_container","bottom","Select comparison type.</br></br><b><i>clusters</i></b> to identify cell-types and marker genes.</br></br><b><i>samples</i></b> to run differential expression, abundance, and pathway analyses across groups of samples.</br></br><i class=""fas fa-exclamation-triangle text-danger""></i> Select <b><i>samples</i></b> for tour."
"#sc-form-sample_groups-edit_groups","bottom","Click to specify group names for samples."
"#sc-form-sample_groups-compare_groups-full-height-selectize","bottom","After specifying sample groups, select a test and then a control group to compare.</br></br><i class=""fas fa-exclamation-triangle text-danger""></i> Selection required for tour."
"#sc-form-sample_clusters-selected_cluster-full-height-selectize","top","Select a cluster to sort genes by FDR across groups.</br></br><i class=""fas fa-exclamation-triangle text-danger""></i> Selection required for tour."
"#sc-form-sample_clusters-click_dl_anal","top","Download differential expression and pathway analyses for the selected cluster.</br></br><i class=""fas fa-exclamation-triangle text-info""></i> Download includes differential abundance analysis for all clusters."
"#sc-form-gene_samples-gene_table","top","Select a gene to plot for this intro.</br></br><i class=""fas fa-exclamation-triangle text-danger""></i> Selection required for tour."
"#sc-cluster_plot-cluster_plot_container","left","Dimensionality reduction plot of clusters and associated labels.</br></br><i class=""fas fa-layer-group text-default btn-tour""></i> Click to toggle differential abundance overlay."
"#sc-sample_comparison_row>.row","top","Dimensionality reduction plots split by group for the selected feature."
"#sc-expr_sample_violin-plot","top","Violin plot shows distribution of selected feature in the selected cluster for each sample.</br></br><i class=""fas fa-exclamation-triangle text-info""></i> Sorted by average logcounts."
"#sc-form-gene_samples-show_pbulk","top","Click to toggle differential expression overlay for the selected feature."
"#sc-form-gene_samples-gene_search","top","Search for gene of interest.</br></br><i class=""fas fa-exclamation-triangle text-info""></i> paste the <b><i>Genes</i></b> column of downloaded Gene Ontology results to explore DE genes for a pathway."
