cell_id	cell_type	base_cell_id	precursor_cell_id	modification	sample_type	primary_site	subtype	original_growth_pattern	provider_catalog_id	original_source_vendor	donor_age	donor_sex	donor_ethnicity
A375	cell line	A375	-666	-666	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
A375.311	cell line	A375	A375	genetically modified to stably express Cas9 protein	tumor	skin	malignant melanoma	adherent	CRL-1619	ATCC	54	F	-666
A549	cell line	A549	-666	-666	tumor	lung	non small cell lung cancer| carcinoma	adherent	CCL-185	ATCC	58	M	Caucasian
A549.311	cell line	A549	A549	genetically  modified to stably express Cas9 protein	tumor	lung	non small cell lung cancer| carcinoma	adherent	CCL-185	ATCC	58	M	Caucasian
A673	cell line	A673	-666	-666	tumor	bone	ewing's sarcoma	adherent	CRL-1598	ATCC	-666	F	-666
AGS	cell line	AGS	-666	-666	tumor	stomach	adenocarcinoma	adherent	CRL-1739	ATCC	54	F	Caucasian
BT20	cell line	BT20	-666	-666	tumor	breast	carcinoma	adherent	HTB-19	ATCC	74	F	Caucasian
CL34	cell line	CL34	-666	-666	tumor	large intestine	colorectal adenocarcinoma	adherent	-666	DSMZ	-666	F	-666
CORL23	cell line	CORL23	-666	-666	tumor	lung	non small cell lung cancer| large cell carcinoma	adherent	92031919	ECACC	-666	M	-666
COV644	cell line	COV644	-666	-666	tumor	ovary	carcinoma| epithelial-mucinous	adherent	-666	ECACC	-666	F	-666
DV90	cell line	DV90	-666	-666	tumor	lung	non small cell lung cancer| adenocarcinoma	adherent	-666	DSMZ	-666	M	-666
EFO27	cell line	EFO27	-666	-666	tumor	ovary	mucinous papillary adenocarcinoma	adherent	-666	DSMZ	-666	F	-666
H1299	cell line	H1299	-666	-666	-666	lung	carcinoma	adherent	-666	-666	-666	-666	-666
HA1E	cell line	HA1E	-666	immortalized normal	normal	kidney	normal kidney	adherent	-666	-666	-666	-666	-666
HA1E.101	cell line	HA1E	HA1E	genetically modified to stably express Cas9 protein	normal	kidney	normal kidney	adherent	-666	-666	-666	-666	-666
HA1E.311	cell line	HA1E	HA1E	genetically modified to stably express Cas9 protein	normal	kidney	normal kidney	adherent	-666	-666	-666	-666	-666
